sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500101001,YouBike2.0_捷運科技大樓站,大安區,復興南路二段235號前,25.02605,121.5436,28,1,25,1,2026-09-24 10:51:02
500101002,YouBike2.0_復興南路二段273號前,大安區,復興南路二段273號西側,25.02565,121.54357,21,2,19,1,2026-09-24 10:51:02
500101003,YouBike2.0_國北教大實小東側門,大安區,和平東路二段96巷7號,25.02429,121.54124,28,1,26,1,2026-09-24 10:51:02
500101004,YouBike2.0_和平公園東側,大安區,和平東路二段118巷33號,25.02351,121.54282,11,0,10,1,2026-09-24 10:51:02
500101005,YouBike2.0_辛亥復興路口西北側,大安區,復興南路二段368號,25.02153,121.54299,16,0,14,1,2026-09-24 10:51:02
500103001,YouBike2.0_延平國宅,大同區,延平北路五段1-1號(對面),25.07894,121.51121,41,20,21,1,2026-09-24 10:51:02
500103002,YouBike2.0_臺北市立圖書館大同分館,大同區,重慶北路三段318號旁,25.0741,121.51349,57,1,56,1,2026-09-24 10:51:02
500103003,YouBike2.0_合昌宮,大同區,環河北路二段371號旁,25.07717,121.50934,15,12,3,1,2026-09-24 10:51:02
500103004,YouBike2.0_民族延平路口,大同區,延平北路三段123號北側,25.06864,121.5107,36,7,28,1,2026-09-24 10:51:02
500103005,YouBike2.0_重慶酒泉街口,大同區,重慶北路三段260號前,25.07158,121.51368,44,0,44,1,2026-09-24 10:51:02
500103037,YouBike2.0_太原廣場,大同區,鄭州路23號(旁),25.04925,121.51468,31,2,26,1,2026-09-24 10:51:02
500103048,YouBike2.0_南京太原路口,大同區,南京西路/太原路(東側),25.05366,121.51638,29,1,27,1,2026-09-24 10:51:02
500103051,YouBike2.0_臺北轉運站(華陰街),大同區,華陰街45號(對面),25.04937,121.51914,20,16,3,1,2026-09-24 10:51:02
500103053,YouBike2.0_捷運中山站(5號出口),大同區,南京西路57號前,25.05296,121.51938,18,3,14,1,2026-09-24 10:51:02
500103054,YouBike2.0_重慶長安路口,大同區,長安西路244號(重慶路側),25.0515,121.51398,21,1,20,1,2026-09-24 10:51:02
500103059,YouBike2.0_承德鄭州路口(市民高架下),大同區,承德路一段/鄭州路口(市民高架下),25.04879,121.51626,38,6,32,1,2026-09-24 10:51:02
500103090,YouBike2.0_臺北當代藝術館,大同區,長安西路39號(前),25.05066,121.51846,12,4,8,1,2026-09-24 10:51:02
500104001,YouBike2.0_劍潭抽水站,士林區,通河東街325巷/通河東街口,25.08128,121.51784,17,0,17,1,2026-09-24 10:51:02
500104002,YouBike2.0_通河東街大南路口,士林區,通河東街1段192號(旁),25.08914,121.51542,15,6,7,1,2026-09-24 10:51:02
500104003,YouBike2.0_福港街停車場,士林區,華齡街175號(旁),25.08695,121.51901,38,11,24,1,2026-09-24 10:51:02
500104004,YouBike2.0_百齡國小,士林區,前港街104號(對面),25.08521,121.51918,68,1,66,1,2026-09-24 10:51:02
500104005,YouBike2.0_雨聲街165巷口,士林區,雨聲街/雨聲街165巷(西北側),25.10277,121.53357,24,3,21,1,2026-09-24 10:51:02
500105001,YouBike2.0_台北花木批發市場,文山區,萬盛街/興隆路一段(西北側),25.00402,121.54074,40,13,27,1,2026-09-24 10:51:02
500105002,YouBike2.0_捷運萬隆站(4號出口),文山區,羅斯福路5段210號(前),25.0027,121.53861,22,1,20,1,2026-09-24 10:51:02
500105003,YouBike2.0_捷運萬隆站(1號出口),文山區,羅斯福路五段250號(前),25.00115,121.53916,34,19,15,1,2026-09-24 10:51:02
500105004,YouBike2.0_萬和二號公園,文山區,萬隆街255號(對面),25.00154,121.5364,35,9,26,1,2026-09-24 10:51:02
500105005,YouBike2.0_捷運萬隆站(2號出口),文山區,興隆路一段70巷/羅斯福路5段211巷26弄口,25.00144,121.53983,18,3,9,1,2026-09-24 10:51:02
500106001,YouBike2.0_臺北自來水事業處,中正區,思源街1號東側,25.013741,121.53068,20,1,19,1,2026-09-24 10:51:02
500106002,YouBike2.0_汀州思源街口東南側,中正區,汀州路三段思源街口東南側,25.014697,121.531908,34,0,34,1,2026-09-24 10:51:02
500106003,YouBike2.0_捷運公館站(1號出口),中正區,羅斯福路四段68號,25.014529,121.534374,12,1,11,1,2026-09-24 10:51:02
500106004,YouBike2.0_捷運公館站(4號出口),中正區,羅斯福路四段48號,25.015069,121.533828,12,0,12,1,2026-09-24 10:51:02
500106005,YouBike2.0_捷運古亭站(9號出口),中正區,羅斯福路二段100號(前方),25.02694,121.52224,24,2,22,1,2026-09-24 10:51:02
500106043,YouBike2.0_捷運善導寺站(1號出口),中正區,忠孝東路一段7號,25.04527,121.5222,46,10,35,1,2026-09-24 10:51:02
500106062,YouBike2.0_捷運臺大醫院站(4號出口),中正區,常德街1號(公園路側),25.04297,121.51643,60,7,52,1,2026-09-24 10:51:02
500106067,YouBike2.0_臺北轉運站,中正區,市民大道一段/中山北路一段(西北側),25.04842,121.51994,68,21,47,1,2026-09-24 10:51:02
