sno,sna,sarea,ar,latitude,longitude,Quantity,available_rent_bikes,available_return_bikes,act,mday
500101001,YouBike2.0_捷運科技大樓站,大安區,復興南路二段235號前,25.02605,121.5436,28,6,22,1,2026-09-25 21:42:02
500101002,YouBike2.0_復興南路二段273號前,大安區,復興南路二段273號西側,25.02565,121.54357,21,18,3,1,2026-09-25 21:42:02
500101003,YouBike2.0_國北教大實小東側門,大安區,和平東路二段96巷7號,25.02429,121.54124,28,8,20,1,2026-09-25 21:42:02
500101004,YouBike2.0_和平公園東側,大安區,和平東路二段118巷33號,25.02351,121.54282,11,6,5,1,2026-09-25 21:42:02
500101005,YouBike2.0_辛亥復興路口西北側,大安區,復興南路二段368號,25.02153,121.54299,16,0,16,1,2026-09-25 21:42:02
500101006,YouBike2.0_復興南路二段280號前,大安區,復興南路二段280號,25.02429,121.54328,27,3,24,1,2026-09-25 21:42:02
500101007,YouBike2.0_復興南路二段340巷口,大安區,復興南路二段342號,25.02253,121.54326,11,1,10,1,2026-09-25 21:42:02
500101008,YouBike2.0_新生南路三段52號前,大安區,新生南路三段52號,25.02112,121.53407,17,0,16,1,2026-09-25 21:42:02
500101009,YouBike2.0_新生南路三段66號前,大安區,新生南路三段66號東側,25.01976,121.53384,16,1,14,1,2026-09-25 21:42:02
500101010,YouBike2.0_新生南路三段82號前,大安區,新生南路三段82號,25.01894,121.53361,20,1,19,1,2026-09-25 21:42:02
500101012,YouBike2.0_辛亥路一段30號前,大安區,辛亥路一段30號,25.01986,121.52982,8,6,2,1,2026-09-25 21:42:02
500101013,YouBike2.0_和平復興路口西北側,大安區,復興南路二段236號,25.02543,121.54332,9,5,3,1,2026-09-25 21:42:02
500101014,YouBike2.0_羅斯福路三段311號前,大安區,羅斯福路三段311號,25.01717,121.53202,11,2,8,1,2026-09-25 21:42:02
500101015,YouBike2.0_大安運動中心停車場,大安區,敦南街76巷28號,25.02089,121.54697,19,8,11,1,2026-09-25 21:42:02
500101016,YouBike2.0_羅斯福路三段245號前,大安區,羅斯福路三段245號,25.01927,121.52989,8,1,7,1,2026-09-25 21:42:02
500101018,YouBike2.0_溫州公園,大安區,羅斯福路三段283巷11號,25.01895,121.53156,11,9,2,1,2026-09-25 21:42:02
500101019,YouBike2.0_和平臥龍街口,大安區,臥龍街1號,25.024461,121.546705,24,10,14,1,2026-09-25 21:42:02
500101020,YouBike2.0_溫州停車場,大安區,新生南路三段54巷/溫州街口,25.02093,121.5331,5,0,0,0,2026-09-25 21:42:02
500101021,YouBike2.0_銘傳國小側門,大安區,羅斯福路四段21號旁天橋下,25.01385,121.53549,7,1,6,1,2026-09-25 21:42:02
500101022,YouBike2.0_捷運公館站(2號出口),大安區,捷運公館站(2號出口)外側,25.01491,121.53438,99,14,81,1,2026-09-25 21:42:02
500101023,YouBike2.0_第二學生活動中心,大安區,羅斯福路四段107號(西南側),25.01244,121.53661,87,10,76,1,2026-09-25 21:42:02
500101024,YouBike2.0_臺灣科技大學正門,大安區,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),25.01451,121.54142,50,10,40,1,2026-09-25 21:42:02
500101025,YouBike2.0_臺灣科技大學側門,大安區,基隆路四段73巷與基隆路口,25.01295,121.53973,97,7,90,1,2026-09-25 21:42:02
500101026,YouBike2.0_公館公園,大安區,羅斯福路四段113巷基隆路四段41巷口,25.01137,121.54062,51,14,37,1,2026-09-25 21:42:02
500101027,YouBike2.0_臺灣科技大學後門,大安區,基隆路四段41巷68弄臺科帆船大樓旁,25.01182,121.54165,99,61,38,1,2026-09-25 21:42:02
500101028,YouBike2.0_臺大醫學院附設癌醫中心,大安區,基隆路三段155巷57號西側,25.01426,121.54382,20,10,10,1,2026-09-25 21:42:02
